data_class,Project ID,Monitoring Location ID,Monitoring Location Name,AU,Activity ID,Activity Type,Activity Media Name,Activity Media Subdivision,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Type,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment,Activity Comment,WQP Result ID
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-3/16/2005-15:00-FM,Field Msr/Obs,Water,Surface Water,3/16/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,296,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-3/30/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,3/30/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,237,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-4/13/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,4/13/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,223,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-4/27/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,4/27/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,264,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-5/11/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,5/11/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,157.1,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-5/25/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,5/25/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,198,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-6/23/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,6/23/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,356,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-7/7/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,7/7/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,370,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-10/18/2005-15:00-FM,Field Msr/Obs,Water,Surface Water,10/18/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,424,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-11/3/2005-15:30-FM,Field Msr/Obs,Water,Surface Water,11/3/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,567,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-1/5/2006-13:00-FM,Field Msr/Obs,Water,Surface Water,1/5/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,281,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-1/20/2006-11:00-FM,Field Msr/Obs,Water,Surface Water,1/20/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,288,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-2/10/2006-11:00-FM,Field Msr/Obs,Water,Surface Water,2/10/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,300,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-4,Shebang Creek,ID17060305CL007_03,lp5-TCC-4-3/16/2006-12:30-FM,Field Msr/Obs,Water,Surface Water,3/16/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,268,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
